SECID,LOTSIZE
ABRD,10
ACKO,100
AFKS,100
AFLT,10
AGRO,1
AKRN,1
ALBK,10
ALNU,1
ALRS,10
AMEZ,100
APTK,10
AQUA,10
ARSA,1000
ASSB,1000
AVAN,1
BANE,1
BANEP,1
BELU,1
BISV,100
BISVP,100
BLNG,100
BRZL,1
BSPB,10
BSPBP,1000
CBOM,100
CHEP,10
CHGZ,10
CHKZ,1
CHMF,1
CHMK,1
CNTL,100
CNTLP,100
DERZP,1
DIOD,100
DSKY,10
DVEC,1000
DZRD,1
DZRDP,1
EELT,10
ELTZ,1
ENPG,1
ENRU,1000
ETLN,1
FEES,10000
FESH,100
FIVE,1
FIXP,1
FLOT,10
GAZA,10
GAZAP,10
GAZC,10
GAZP,10
GAZS,10
GAZT,10
GCHE,1
GEMA,1
GLTR,10
GMKN,1
GTRK,10
GTSS,100000
HALS,1
HHRU,1
HIMC,1000
HIMCP,100
HYDR,1000
IGST,1
IGSTP,1
INGR,1
IRAO,100
IRGZ,100
IRKT,100
ISKJ,100
JNOS,100
JNOSP,100
KAZT,10
KAZTP,10
KBSB,10
KBTK,10
KCHE,10000
KCHEP,10000
KGKC,10
KGKCP,10
KLSB,100
KMAZ,10
KMEZ,1
KMTZ,10
KOGK,1
KRKN,1
KRKNP,1
KRKO,100
KRKOP,100
KROT,10
KROTP,10
KRSB,100
KRSBP,100
KSGR,10
KTSB,1000
KTSBP,10000
KUBE,10
KUNF,100
KUZB,10000
KZMS,10
KZOS,10
KZOSP,10
LIFE,100
LKOH,1
LNTA,1
LNZL,1
LNZLP,1
LPSB,100
LSNG,100
LSNGP,10
LSRG,1
LVHK,100
MAGE,100
MAGEP,100
MAGN,10
MAIL,1
MDMG,10
MFGS,10
MFGSP,10
MFON,1
MGNT,1
MGNZ,1
MGTS,1
MGTSP,1
MISB,100
MISBP,100
MOBB,100
MOEX,10
MORI,1000
MRKC,1000
MRKK,10
MRKP,10000
MRKS,10000
MRKU,10000
MRKV,10000
MRKY,10000
MRKZ,10000
MRSB,10000
MSNG,1000
MSRS,1000
MSTT,10
MTLR,1
MTLRP,10
MTSS,10
MVID,1
NAUK,10
NFAZ,10
NKHP,10
NKNC,10
NKNCP,10
NKSH,100
NLMK,10
NMTP,100
NNSB,1
NNSBP,1
NPOF,1
NSVZ,10
NVTK,1
OGKB,1000
OKEY,10
OMZZP,1
ORUP,10
OZON,1
PAZA,1
PHOR,1
PIKK,1
PLZL,1
PMSB,10
PMSBP,10
POGR,100
POLY,1
PRMB,1
QIWI,1
RASP,10
RAVN,100
RBCM,100
RDRB,10
RGSS,1000
RKKE,1
RNFT,1
ROLO,100
ROSB,10
ROSN,10
ROST,10
RSTI,1000
RSTIP,1000
RTGZ,1
RTKM,10
RTKMP,10
RTSB,1000
RTSBP,10000
RUAL,10
RUGR,10
RUSI,100
RUSP,1000
RZSB,100
SAGO,1000
SAGOP,10000
SARE,10000
SAREP,10000
SBER,10
SBERP,10
SELG,100
SELGP,100
SFIN,10
SIBN,10
SLEN,100
SMLT,1
SNGS,100
SNGSP,100
STSB,1000
STSBP,1000
SVAV,10
TASB,10000
TASBP,10000
TATN,1
TATNP,1
TCSG,1
TGKA,100000
TGKB,1000000
TGKBP,100000
TGKD,100000
TGKDP,100000
TGKN,1000000
TNSE,1
TORS,10000
TORSP,10000
TRCN,1
TRFM,10000
TRMK,10
TRNFP,1
TTLK,10000
TUZA,10
UCSS,1
UKUZ,1
UNAC,1000
UNKL,1
UPRO,1000
URKA,10
URKZ,1
USBN,10000
UTAR,100
UWGN,1
VGSB,1000
VGSBP,1000
VJGZ,1
VJGZP,10
VLHZ,10
VRSB,10
VRSBP,100
VSMO,1
VSYD,1
VSYDP,1
VTBR,10000
VZRZ,1
VZRZP,10
WTCM,100
WTCMP,100
YAKG,100
YKEN,10000
YKENP,10000
YNDX,1
YRSB,10
YRSBP,10
ZILL,1
ZVEZ,1000